variable_name,variable_description,variable_source,form_location,variable_coverage,form_scope,variable_datatype
F9_09_EXP_FEE_SVC_ACC_TOT,Fees for Services - Accounting - Total Expense,PC,F990-PC-PART-09-LINE-11C-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_FEE_SVC_FUNDR_TOT,Fees for Professional Fundraising Services - Total Expense,PC,F990-PC-PART-09-LINE-11E-COL-A,1989-2022,PZ-501C3,numeric;integer
F9_09_EXP_FEE_SVC_INVEST_TOT,Investment Management Fees - Total Expense,PC,F990-PC-PART-09-LINE-11F-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_FEE_SVC_LEGAL_TOT,Fees for Services - Legal - Total Expense,PC,F990-PC-PART-09-LINE-11B-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_FEE_SVC_LOB_TOT,Fees for Services - Lobbying - Total Expense,PC,F990-PC-PART-09-LINE-11D-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_FEE_SVC_MGMT_MGMT,Fees for Services - Management - Management and General,PC,F990-PC-PART-09-LINE-11A-COL-C,2005-2009,PZ-501C3,integer
F9_09_EXP_FEE_SVC_MGMT_TOT,Fees for Services - Management - Total Expense,PC,F990-PC-PART-09-LINE-11A-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_FEE_SVC_OTH_TOT,Fees for Services - Other - Total Expense,PC,F990-PC-PART-09-LINE-11G-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_GRANT_FRGN_TOT,total Grants to Foreign Orgs and Governments - Total Expense,PC,F990-PC-PART-09-LINE-03-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_GRANT_US_INDIV_TOT,Grants To Domestic Individuals - Total,PC,F990-PC-PART-09-LINE-02-COL-A,2011-2013; 2020-2022,PZ-501C3,integer;numeric
F9_09_EXP_GRANT_US_ORG_TOT,Grants To Domestic Orgs - Total,PZ,F990-PC-PART-09-LINE-01-COL-A,2008-2013; 2020-2022,PZ-501C3,integer;integer64;numeric
F9_09_EXP_INFO_TECH_TOT,Information Technology - Total,PC,F990-PC-PART-09-LINE-14-COL-A,2020-2022,PZ-501C3,integer64;integer
F9_09_EXP_INSURANCE_TOT,Insurance - Total,PC,F990-PC-PART-09-LINE-23-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_INT_TOT,Interest - Total,PC,F990-PC-PART-09-LINE-20-COL-A,2008-2013; 2020-2022,PZ-501C3,integer;numeric
F9_09_EXP_OCCUPANCY_TOT,Occupancy; rent; utilities; and maintenance,PZ,"F990-EZ-PART-01-LINE-14;
F990-PC-PART-09-LINE-16-COL-A",2008-2013; 2020-2022,PZ-501C3,integer;numeric
F9_09_EXP_OFFICE_TOT,Office Expenses - Total,PZ,F990-PC-PART-09-LINE-13-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_OTH_EMPL_BEN_TOT,Other Employee Benefits - Total,PC,F990-PC-PART-09-LINE-09-COL-A,2008-2013; 2020-2022,PZ-501C3,integer
